batch_id,input_symbol,input_company_name,nse_symbol,nse_issuer_name,symbol_match_status,isin,listing_status,nse_macro,nse_sector,nse_industry,nse_basic_industry,index,index_list,pd_sector_index,source,confidence,notes
ind_nifty500,VAML,Vedanta Aluminium Metal Ltd.,VAML,Vedanta Aluminium Metal Limited,exact_symbol_match,,,,,,,,,,NSE quote API secInfo,0.2,classification_missing_or_fetch_failed
ind_nifty500,VISL,Vedanta Iron and Steel Ltd.,VISL,Vedanta Iron and Steel Limited,exact_symbol_match,,,,,,,,,,NSE quote API secInfo,0.2,classification_missing_or_fetch_failed
ind_nifty500,VEDL,Vedanta Ltd.,VEDL,Vedanta Limited,exact_symbol_match,INE205A01025,Listed,Commodities,Metals & Mining,Diversified Metals,Diversified Metals,Nifty Next 50,NIFTY NEXT 50; NIFTY 100; NIFTY 200; NIFTY 500; NIFTY ALPHA 50; NIFTY COMMODITIES; NIFTY DIVIDEND OPPORTUNITIES 50; NIFTY HIGH BETA 50; NIFTY INDIA FPI 150; NIFTY INDIA MANUFACTURING; NIFTY LARGEMIDCAP 250; NIFTY METAL; NIFTY MNC; NIFTY TOTAL MARKET; NIFTY100 ALPHA 30; NIFTY100 EQUAL WEIGHT; NIFTY100 LIQUID 15; NIFTY200 ALPHA 30; NIFTY200 VALUE 30; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 VALUE 50,NIFTY 500,NSE quote API secInfo,0.9,
ind_nifty500,VOGL,Vedanta Oil and Gas Ltd.,VOGL,Vedanta Oil and Gas Limited,exact_symbol_match,,,,,,,,,,NSE quote API secInfo,0.2,classification_missing_or_fetch_failed
ind_nifty500,VEDPOWER,Vedanta Power Ltd.,VEDPOWER,Vedanta Power Limited,exact_symbol_match,,,,,,,,,,NSE quote API secInfo,0.2,classification_missing_or_fetch_failed
ind_nifty500,VIJAYA,Vijaya Diagnostic Centre Ltd.,VIJAYA,Vijaya Diagnostic Centre Limited,exact_symbol_match,INE043W01024,Listed,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,Nifty 500,NIFTY 500; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY SMALLCAP250 MOMENTUM QUALITY 100; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 HEALTHCARE; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25,-,NSE quote API secInfo,0.9,
ind_nifty500,IDEA,Vodafone Idea Ltd.,IDEA,Vodafone Idea Limited,exact_symbol_match,INE669E01016,Listed,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,Nifty 200,NIFTY 200; NIFTY 500; NIFTY CONGLOMERATE 50; NIFTY HIGH BETA 50; NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP; NIFTY INDIA DIGITAL; NIFTY INDIA FPI 150; NIFTY INDIA INFRASTRUCTURE & LOGISTICS; NIFTY INDIA NEW AGE CONSUMPTION; NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR); NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP150 MOMENTUM 50; NIFTY MIDSMALL INDIA CONSUMPTION; NIFTY MIDSMALL IT & TELECOM; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY RURAL; NIFTY TELECOMMUNICATIONS; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,NIFTY 500,NSE quote API secInfo,0.9,
ind_nifty500,WAAREEENER,Waaree Energies Ltd.,WAAREEENER,Waaree Energies Limited,exact_symbol_match,INE377N01017,Listed,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,Nifty Midcap 50,NIFTY MIDCAP 50; NIFTY 200; NIFTY 500; NIFTY CAPITAL GOODS; NIFTY INDIA FPI 150; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25,-,NSE quote API secInfo,0.9,
ind_nifty500,WELCORP,Welspun Corp Ltd.,WELCORP,Welspun Corp Limited,exact_symbol_match,INE191B01025,Listed,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,Nifty 500,NIFTY 500; NIFTY CAPITAL GOODS; NIFTY METAL; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100; NIFTY SMALLCAP 100; NIFTY SMALLCAP 250; NIFTY SMALLCAP 50; NIFTY SMALLCAP 500; NIFTY SMALLCAP250 MOMENTUM QUALITY 100; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20; NIFTY500 SHARIAH,NIFTY INFRASTRUCTURE,NSE quote API secInfo,0.9,
ind_nifty500,WELSPUNLIV,Welspun Living Ltd.,WELSPUNLIV,Welspun Living Limited,exact_symbol_match,INE192B01031,Listed,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,Nifty 500,NIFTY 500; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY SMALLCAP250 MOMENTUM QUALITY 100; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 SHARIAH,-,NSE quote API secInfo,0.9,
